roc_auc,std_dev,criterion,max_depth,min_samples_leaf,min_samples_split
0.6143915438974727,0.13603873150808585,gini,0,1,2
0.6032942942268534,0.11250269747041619,gini,0,1,5
0.6033873941989062,0.14641736194215002,gini,0,1,10
0.6274282224418094,0.1184881628648619,gini,0,1,15
0.6400856639517707,0.14335424784054215,gini,0,1,20
0.6297682980995727,0.10682951776985941,gini,0,5,2
0.6216114579590369,0.08138572644156039,gini,0,5,5
0.6239786201940352,0.10598876093506795,gini,0,5,10
0.6448408242504092,0.13759114292846353,gini,0,5,15
0.6517817503094183,0.11743696673256801,gini,0,5,20
0.7147548483850361,0.05228091841493134,gini,0,10,2
0.710416704096299,0.046444117657880674,gini,0,10,5
0.7100933120733022,0.0469049849922987,gini,0,10,10
0.7126804482572763,0.06014571180564935,gini,0,10,15
0.7057095535393461,0.03825911483432802,gini,0,10,20
0.7107620548369066,0.09863765644642916,gini,0,15,2
0.7152968045075259,0.09916901900966806,gini,0,15,5
0.7155123991895236,0.10290087532094294,gini,0,15,10
0.7093412384716732,0.09738847691861344,gini,0,15,15
0.7121011498383041,0.10084467471562923,gini,0,15,20
0.7256574514911966,0.15480993203638688,gini,0,20,2
0.7300682092665788,0.14438418349739374,gini,0,20,5
0.7203394493352497,0.15851630214386656,gini,0,20,10
0.724888721703198,0.15450570381161557,gini,0,20,15
0.7329787374735497,0.12526500949547423,gini,0,20,20
0.6662992948257276,0.10203227164644146,gini,2,1,2
0.6662992948257276,0.10203227164644146,gini,2,1,5
0.6662992948257276,0.10203227164644146,gini,2,1,10
0.6662992948257276,0.10203227164644146,gini,2,1,15
0.6662992948257276,0.10203227164644146,gini,2,1,20
0.6662992948257276,0.10203227164644146,gini,2,5,2
0.6662992948257276,0.10203227164644146,gini,2,5,5
0.6662992948257276,0.10203227164644146,gini,2,5,10
0.6662992948257276,0.10203227164644146,gini,2,5,15
0.6662992948257276,0.10203227164644146,gini,2,5,20
0.68006142202659,0.10266791897686225,gini,2,10,2
0.68006142202659,0.10266791897686225,gini,2,10,5
0.68006142202659,0.10266791897686225,gini,2,10,10
0.68006142202659,0.10266791897686225,gini,2,10,15
0.68006142202659,0.10266791897686225,gini,2,10,20
0.68006142202659,0.10266791897686225,gini,2,15,2
0.68006142202659,0.10266791897686225,gini,2,15,5
0.68006142202659,0.10266791897686225,gini,2,15,10
0.68006142202659,0.10266791897686225,gini,2,15,15
0.68006142202659,0.10266791897686225,gini,2,15,20
0.68006142202659,0.10266791897686225,gini,2,20,2
0.68006142202659,0.10266791897686225,gini,2,20,5
0.68006142202659,0.10266791897686225,gini,2,20,10
0.68006142202659,0.10266791897686225,gini,2,20,15
0.68006142202659,0.10266791897686225,gini,2,20,20
