recall,std_dev,criterion,max_depth,min_samples_leaf,min_samples_split
0.34384057971014487,0.2248059211039848,gini,0,1,2
0.34420289855072467,0.21466894447867274,gini,0,1,5
0.31920289855072465,0.22508604156624307,gini,0,1,10
0.2753623188405797,0.13595407999488202,gini,0,1,15
0.2931159420289855,0.24208104968083885,gini,0,1,20
0.29275362318840575,0.24000280051576175,gini,0,5,2
0.3094202898550725,0.29258138138695616,gini,0,5,5
0.3094202898550725,0.29258138138695616,gini,0,5,10
0.24130434782608695,0.1605755244575599,gini,0,5,15
0.23260869565217393,0.2607245974011296,gini,0,5,20
0.2663043478260869,0.1278734014769804,gini,0,10,2
0.2663043478260869,0.1278734014769804,gini,0,10,5
0.2579710144927536,0.10107591753137794,gini,0,10,10
0.2663043478260869,0.1278734014769804,gini,0,10,15
0.2579710144927536,0.10107591753137794,gini,0,10,20
0.19746376811594205,0.1090814409720795,gini,0,15,2
0.19746376811594205,0.1090814409720795,gini,0,15,5
0.19746376811594205,0.1090814409720795,gini,0,15,10
0.19746376811594205,0.1090814409720795,gini,0,15,15
0.19746376811594205,0.1090814409720795,gini,0,15,20
0.23152173913043478,0.16777201201369338,gini,0,20,2
0.23152173913043478,0.16777201201369338,gini,0,20,5
0.23152173913043478,0.16777201201369338,gini,0,20,10
0.23152173913043478,0.16777201201369338,gini,0,20,15
0.23152173913043478,0.16777201201369338,gini,0,20,20
0.3184782608695652,0.12366489263763385,gini,2,1,2
0.3184782608695652,0.12366489263763385,gini,2,1,5
0.3184782608695652,0.12366489263763385,gini,2,1,10
0.3184782608695652,0.12366489263763385,gini,2,1,15
0.3184782608695652,0.12366489263763385,gini,2,1,20
0.3184782608695652,0.12366489263763385,gini,2,5,2
0.3184782608695652,0.12366489263763385,gini,2,5,5
0.3184782608695652,0.12366489263763385,gini,2,5,10
0.3184782608695652,0.12366489263763385,gini,2,5,15
0.3184782608695652,0.12366489263763385,gini,2,5,20
0.3184782608695652,0.12366489263763385,gini,2,10,2
0.3184782608695652,0.12366489263763385,gini,2,10,5
0.3184782608695652,0.12366489263763385,gini,2,10,10
0.3184782608695652,0.12366489263763385,gini,2,10,15
0.3184782608695652,0.12366489263763385,gini,2,10,20
0.3184782608695652,0.12366489263763385,gini,2,15,2
0.3184782608695652,0.12366489263763385,gini,2,15,5
0.3184782608695652,0.12366489263763385,gini,2,15,10
0.3184782608695652,0.12366489263763385,gini,2,15,15
0.3184782608695652,0.12366489263763385,gini,2,15,20
0.3184782608695652,0.12366489263763385,gini,2,20,2
0.3184782608695652,0.12366489263763385,gini,2,20,5
0.3184782608695652,0.12366489263763385,gini,2,20,10
0.3184782608695652,0.12366489263763385,gini,2,20,15
0.3184782608695652,0.12366489263763385,gini,2,20,20
0.24166666666666664,0.24436089156534863,gini,5,1,2
0.25833333333333336,0.2443608915653486,gini,5,1,5
0.24166666666666664,0.24436089156534863,gini,5,1,10
0.2496376811594203,0.21359486961531154,gini,5,1,15
0.2670289855072464,0.24098533990155716,gini,5,1,20
0.21521739130434786,0.20411642772705224,gini,5,5,2
